slug	name	location	stream_url	report_url	area	lon	lat
cape-hatteras-lighthouse	Cape Hatteras Lighthouse	Buxton, Dare County, North Carolina, United States	https://cams.cdn-surfline.com/cdn-ec/ec-capehatteras/playlist.m3u8	https://www.surfline.com/surf-report/cape-hatteras-lighthouse/5842041f4e65fad6a7708a38	Dare County, North Carolina	-75.52073933899909	35.25461941822903
capitola	Capitola	Capitola, Santa Cruz County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-capitola/playlist.m3u8	https://www.surfline.com/surf-report/capitola/5842041f4e65fad6a7708ddf	Santa Cruz County, California	-121.948598	36.971492
carcavelos	Carcavelos	Oeiras e São Julião da Barra, Oeiras Municipality, Lisbon, Portugal	https://cams.cdn-surfline.com/cdn-int/pt-carcavelos/playlist.m3u8	https://www.surfline.com/surf-report/carcavelos/5842041f4e65fad6a7708bc0	Oeiras Municipality, Lisbon	-9.336854109240564	38.67869246746279
cardiff-reef-overview	Cardiff Reef Overview	Cardiff-by-the-Sea, San Diego, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-cardiff/playlist.m3u8	https://www.surfline.com/surf-report/cardiff-reef-overview/5842041f4e65fad6a77088b1	San Diego, California	-117.2821855545044	33.01352178146273
cardiff-reef-south	Cardiff Reef South	Cardiff-by-the-Sea, San Diego, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-cardiffreef/playlist.m3u8	https://www.surfline.com/surf-report/cardiff-reef-south/584204214e65fad6a7709d19	San Diego, California	-117.2842382170616	33.01475766452994
carolina-beach-pier	Carolina Beach Pier	Carolina Beach, New Hanover County, North Carolina, United States	https://cams.cdn-surfline.com/cdn-ec/ec-carolinabeach/playlist.m3u8	https://www.surfline.com/surf-report/carolina-beach-pier/5842041f4e65fad6a7708a49	New Hanover County, North Carolina	-77.88128132773197	34.05683595651973
carpinteria-state-beach	Carpinteria State Beach	Carpinteria, Santa Barbara County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-carpinteria/playlist.m3u8	https://www.surfline.com/surf-report/carpinteria-state-beach/5842041f4e65fad6a770896e	Santa Barbara County, California	-119.5195472588063	34.38935162233354
casino-pier	Casino Pier	Seaside Heights, Ocean County, New Jersey, United States	https://cams.cdn-surfline.com/cdn-ec/ec-casinopier/playlist.m3u8	https://www.surfline.com/surf-report/casino-pier/5842041f4e65fad6a7708857	Ocean County, New Jersey	-74.06828999519348	39.941519877445664
cayucos-overview	Cayucos Overview	Cayucos, San Luis Obispo County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-cayucosov/playlist.m3u8	https://www.surfline.com/surf-report/cayucos-overview/584204214e65fad6a7709cf7	San Luis Obispo County, California	-120.90584456920624	35.448141925598925
central-ocean-beach-north	Central Ocean Beach North	San Francisco, San Francisco County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-centralobsfnorth/playlist.m3u8	https://www.surfline.com/surf-report/central-ocean-beach-north/58bdda3582d034001252e3d0	San Francisco County, California	-122.51163482666016	37.75001868257303
